"Dimensao","Repeticao","Configuracao","Fbest"
51,9,"Config2",2501237.07981437
51,10,"Config1",1567579.44644814
51,10,"Config2",1613073.26981795
57,1,"Config1",1640159.91652891
57,1,"Config2",2851382.96462211
57,2,"Config1",2901160.1350261
57,2,"Config2",2984748.33422554
57,3,"Config1",1663132.73204835
57,3,"Config2",2969126.73195721
57,4,"Config1",1918988.64686192
57,4,"Config2",3401340.62628511
57,5,"Config1",1579933.51225345
57,5,"Config2",3703228.57430512
57,6,"Config1",2316342.9396944
57,6,"Config2",2302339.38449443
57,7,"Config1",2094099.93085596
57,7,"Config2",2881198.50181332
57,8,"Config1",2036044.82839788
57,8,"Config2",2924360.09391684
57,9,"Config1",2328979.77926613
57,9,"Config2",3543416.61601334
57,10,"Config1",2003310.42207802
57,10,"Config2",3220373.9408595
62,1,"Config1",2233422.56351536
62,1,"Config2",4068897.49690595
62,2,"Config1",3919581.97640945
62,2,"Config2",4166334.35797989
62,3,"Config1",2039867.22600956
62,3,"Config2",3655328.76657999
62,4,"Config1",4147390.55780245
62,4,"Config2",2893397.53658854
62,5,"Config1",4140328.18795862
62,5,"Config2",2927189.54986423
62,6,"Config1",3197450.54176121
62,6,"Config2",3751723.78878242
62,7,"Config1",3790866.03890109
62,7,"Config2",3220732.83108793
62,8,"Config1",3696908.28552033
62,8,"Config2",2257481.87557091
62,9,"Config1",3768204.15444848
62,9,"Config2",3592188.48199052
62,10,"Config1",2914053.009641
62,10,"Config2",3725661.6152537
68,1,"Config1",3518444.40037815
68,1,"Config2",4123984.39506504
68,2,"Config1",3705515.28620076
68,2,"Config2",3996458.59043839
68,3,"Config1",4329134.53352011
68,3,"Config2",3412778.80401998
68,4,"Config1",3662341.18755089
68,4,"Config2",4125484.28368958
68,5,"Config1",4324507.75999959
68,5,"Config2",4446278.41761517
68,6,"Config1",3415180.7434248
68,6,"Config2",3805259.49725185
68,7,"Config1",3514418.99440889
68,7,"Config2",4059118.61747946
68,8,"Config1",4270310.05156461
68,8,"Config2",3606617.18234317
68,9,"Config1",1964842.25022271
68,9,"Config2",3120520.65082086
68,10,"Config1",4216949.66020345
68,10,"Config2",4582920.47210844
73,1,"Config1",4964971.38906649
73,1,"Config2",4084312.45375225
73,2,"Config1",4574378.94002183
73,2,"Config2",4175887.00074088
73,3,"Config1",3803428.55003414
73,3,"Config2",5289925.30250386
73,4,"Config1",4130674.34280663
73,4,"Config2",5069504.23394867
73,5,"Config1",4471969.45891299
73,5,"Config2",3807967.71010127
73,6,"Config1",4992909.04820029
73,6,"Config2",5252805.73595657
73,7,"Config1",4514058.87327658
73,7,"Config2",4631436.39462569
73,8,"Config1",4559662.69802956
73,8,"Config2",5063340.18124204
73,9,"Config1",4066410.42506612
73,9,"Config2",3592655.46527883
73,10,"Config1",4834634.5511118
73,10,"Config2",4997771.56590759
79,1,"Config1",4812248.23238083
79,1,"Config2",4667139.46152089
79,2,"Config1",3885883.04301361
