"Dimensao","Repeticao","Configuracao","Fbest"
52,6,"Config1",2619.63542123902
52,6,"Config2",2299541.61148534
52,7,"Config1",2142.0859318514
52,7,"Config2",2249058.95117351
52,8,"Config1",1104.9242896854
52,8,"Config2",1943792.80452813
52,9,"Config1",2351.19606066543
52,9,"Config2",2348090.54873831
52,10,"Config1",2695.68212772994
52,10,"Config2",1977093.40575618
62,1,"Config1",5279.40697028121
62,1,"Config2",3446213.26460291
62,2,"Config1",4456.8009462667
62,2,"Config2",3966442.07005068
62,3,"Config1",5475.42893109613
62,3,"Config2",3392269.4737065
62,4,"Config1",3732.01726190666
62,4,"Config2",3693791.36860956
62,5,"Config1",4062.5139759089
62,5,"Config2",3131070.01833235
62,6,"Config1",3216.54001727571
62,6,"Config2",3602695.44771029
62,7,"Config1",3859.32783520818
62,7,"Config2",3749041.59556943
62,8,"Config1",3433.44463856038
62,8,"Config2",3402870.25349007
62,9,"Config1",3293.86536445595
62,9,"Config2",3956673.12396033
62,10,"Config1",3837.67677809962
62,10,"Config2",3482793.22002431
72,1,"Config1",11534.5120299951
72,1,"Config2",4707191.27706724
72,2,"Config1",12352.1289073247
72,2,"Config2",4326316.14333908
72,3,"Config1",7328.35646831376
72,3,"Config2",4481462.49020188
72,4,"Config1",8567.4875300422
72,4,"Config2",4502044.73819549
72,5,"Config1",5662.87450143234
72,5,"Config2",4242943.41433414
72,6,"Config1",7485.48611069072
72,6,"Config2",4380651.47655754
72,7,"Config1",7579.35735716258
72,7,"Config2",4973984.3500934
72,8,"Config1",12097.8145462193
72,8,"Config2",3965981.53628104
72,9,"Config1",7867.61791879053
72,9,"Config2",4910127.7741986
72,10,"Config1",11830.0668903909
72,10,"Config2",4377300.13245277
82,1,"Config1",17585.3470216603
82,1,"Config2",5471001.27162043
82,2,"Config1",19018.67380552
82,2,"Config2",6039792.8004793
82,3,"Config1",25107.0442456519
82,3,"Config2",4884097.18988368
82,4,"Config1",13815.3267832011
82,4,"Config2",5677563.67448224
82,5,"Config1",16995.20182958
82,5,"Config2",5165539.83372718
82,6,"Config1",14800.5840064782
82,6,"Config2",5155741.37618912
82,7,"Config1",17413.1658185171
