"Dimensao","Repeticao","Configuracao","Fbest"
24,4,"Config2",197923.489891801
24,5,"Config1",86.5052161416378
24,5,"Config2",385616.19160874
24,6,"Config1",87.4358136309947
24,6,"Config2",121527.151599033
24,7,"Config1",47.7017815795369
24,7,"Config2",245925.048158979
24,8,"Config1",53.958269869574
24,8,"Config2",512616.584687324
24,9,"Config1",74.6959389440687
24,9,"Config2",417694.871616152
24,10,"Config1",137.372004570327
24,10,"Config2",411084.392304283
29,1,"Config1",231.084452395351
29,1,"Config2",871875.262439242
29,2,"Config1",148.121443312856
29,2,"Config2",617376.929385384
29,3,"Config1",331.099265812693
29,3,"Config2",615352.778055071
29,4,"Config1",172.879834130327
29,4,"Config2",461824.031947894
29,5,"Config1",211.015024221854
29,5,"Config2",528766.54964854
29,6,"Config1",221.499507059449
29,6,"Config2",87003.207484144
29,7,"Config1",134.105229620833
29,7,"Config2",811025.48236002
29,8,"Config1",232.552216568599
29,8,"Config2",747934.493559164
29,9,"Config1",142.252321190306
29,9,"Config2",211434.403304378
29,10,"Config1",114.706899482605
29,10,"Config2",588907.543446105
35,1,"Config1",459.246452677479
35,1,"Config2",936909.898373978
35,2,"Config1",295.992341101571
35,2,"Config2",1049557.62438117
35,3,"Config1",406.987088903499
35,3,"Config2",940282.479148285
35,4,"Config1",258.789746315848
35,4,"Config2",948073.283176449
35,5,"Config1",271.736342943538
35,5,"Config2",1248363.17346339
35,6,"Config1",235.247198866564
35,6,"Config2",845728.851016568
35,7,"Config1",180.791492584741
35,7,"Config2",947968.465788289
35,8,"Config1",435.859532351605
35,8,"Config2",978606.589418251
35,9,"Config1",525.78942931888
35,9,"Config2",1137037.13355831
35,10,"Config1",432.212787837934
35,10,"Config2",1154726.17807229
40,1,"Config1",688.488358793306
40,1,"Config2",1323088.80350058
40,2,"Config1",939.767837832504
40,2,"Config2",1047993.64639658
40,3,"Config1",1064.46651438043
40,3,"Config2",1363486.87511765
40,4,"Config1",542.616781718888
40,4,"Config2",1427846.9448264
40,5,"Config1",492.839440405729
40,5,"Config2",1316687.60193307
40,6,"Config1",753.642307859751
40,6,"Config2",1631622.32600697
40,7,"Config1",600.680672479519
40,7,"Config2",1184039.97595481
40,8,"Config1",470.010855126598
40,8,"Config2",1157275.8232582
40,9,"Config1",645.201335251935
40,9,"Config2",1538836.76035441
40,10,"Config1",613.603493638525
40,10,"Config2",1367246.15594655
46,1,"Config1",870.067909634486
46,1,"Config2",1636583.48293469
46,2,"Config1",1240.6705032815
46,2,"Config2",1925552.4421212
46,3,"Config1",1145.30669234596
46,3,"Config2",1891157.39012629
46,4,"Config1",1070.25788956497
46,4,"Config2",1863164.03759531
46,5,"Config1",737.51259156694
46,5,"Config2",1713827.33994569
46,6,"Config1",1013.85653010472
46,6,"Config2",1850164.20217377
46,7,"Config1",1172.83230605357
46,7,"Config2",2083544.0115186
46,8,"Config1",1563.8725444815
46,8,"Config2",1971931.80421339
46,9,"Config1",1111.9249847202
46,9,"Config2",1708043.78100729
46,10,"Config1",1470.89165451983
46,10,"Config2",1923748.09864802
51,1,"Config1",1903.47610363332
51,1,"Config2",1955780.5100684
