"Dimensao","Repeticao","Configuracao","Fbest"
18,4,"Config2",2663.61210677912
18,5,"Config1",252291.139924915
18,5,"Config2",13300.5851874757
18,6,"Config1",222659.641633345
18,6,"Config2",8491.17600499706
18,7,"Config1",178719.643521252
18,7,"Config2",2517.45794771119
18,8,"Config1",219599.939202429
18,8,"Config2",17000.9420783931
24,1,"Config1",419849.324339441
24,1,"Config2",87340.4305165208
24,2,"Config1",430022.260588969
24,2,"Config2",50224.5153970326
24,3,"Config1",405884.811595244
24,3,"Config2",41949.2032331086
24,4,"Config1",343643.589624155
24,4,"Config2",86290.4420308839
24,5,"Config1",333881.748825612
24,5,"Config2",142183.928881827
24,6,"Config1",313443.859892642
24,6,"Config2",145945.077586872
24,7,"Config1",370588.495009559
24,7,"Config2",151796.788571345
24,8,"Config1",340951.438216433
24,8,"Config2",262689.9360393
29,1,"Config1",594622.454323137
29,1,"Config2",220701.114667677
29,2,"Config1",401985.783880305
29,2,"Config2",574554.617688361
29,3,"Config1",619609.694793705
29,3,"Config2",75353.8464021901
29,4,"Config1",531416.154487455
29,4,"Config2",294073.344934303
29,5,"Config1",630023.1745615
29,5,"Config2",335327.570802541
29,6,"Config1",676918.995427577
29,6,"Config2",348331.82699492
29,7,"Config1",563774.30729025
29,7,"Config2",435087.937414771
29,8,"Config1",538344.559236803
29,8,"Config2",285923.678477234
29,9,"Config1",570614.469425954
29,9,"Config2",523626.942030586
35,1,"Config1",932257.221017696
35,1,"Config2",344524.507315986
35,2,"Config1",836149.493708365
35,2,"Config2",941110.904690097
35,3,"Config1",1031593.48273417
35,3,"Config2",441784.309671617
35,4,"Config1",810725.081456672
35,4,"Config2",842831.358605514
35,5,"Config1",851579.58462892
35,5,"Config2",548776.340931849
35,6,"Config1",693019.199699441
35,6,"Config2",463146.848537139
35,7,"Config1",756035.87148261
35,7,"Config2",455190.471450418
35,8,"Config1",768756.780582661
35,8,"Config2",564716.060701692
35,9,"Config1",851686.094578859
35,9,"Config2",833240.832506116
35,10,"Config1",864960.606024926
35,10,"Config2",656372.589857129
35,11,"Config1",929644.468938172
35,11,"Config2",505113.779865891
35,12,"Config1",674590.956467291
35,12,"Config2",452648.764431346
35,13,"Config1",862592.750440654
35,13,"Config2",203495.006671372
35,14,"Config1",659086.798096477
35,14,"Config2",499631.803494707
35,15,"Config1",886343.759132182
35,15,"Config2",772776.634967906
35,16,"Config1",824723.824479095
35,16,"Config2",328588.583917301
35,17,"Config1",877798.49404062
35,17,"Config2",709300.69064109
35,18,"Config1",787594.461027439
35,18,"Config2",798362.317047853
35,19,"Config1",907103.454907164
35,19,"Config2",507763.802326849
40,1,"Config1",902035.770495001
40,1,"Config2",388267.665300481
40,2,"Config1",880017.098198553
40,2,"Config2",849841.223135351
40,3,"Config1",1234006.37905451
40,3,"Config2",646423.55880072
40,4,"Config1",987858.03133468
40,4,"Config2",308880.126776269
40,5,"Config1",997730.675313678
40,5,"Config2",899680.111846037
40,6,"Config1",933022.906693759
40,6,"Config2",675367.700178395
40,7,"Config1",658438.102964756
40,7,"Config2",708986.238665571
40,8,"Config1",1125942.44682338
40,8,"Config2",1311440.96668761
40,9,"Config1",840214.382769801
40,9,"Config2",748847.889191732
40,10,"Config1",941891.545601536
40,10,"Config2",637864.181650228
40,11,"Config1",1007291.14202159
40,11,"Config2",530757.760604025
40,12,"Config1",958345.587216275
40,12,"Config2",766219.240720475
40,13,"Config1",1015286.53964333
40,13,"Config2",1189536.09817496
40,14,"Config1",1062161.49025777
40,14,"Config2",578170.942990974
40,15,"Config1",849668.633457913
40,15,"Config2",1300176.42670669
40,16,"Config1",917150.446820895
40,16,"Config2",2426004.15096476
40,17,"Config1",702492.791660934
40,17,"Config2",1181569.69571541
40,18,"Config1",1074389.46347595
40,18,"Config2",934362.851821675
40,19,"Config1",1061849.11621826
40,19,"Config2",917835.905548503
40,20,"Config1",1079082.02388334
40,20,"Config2",910595.503136797
40,21,"Config1",1058676.97132882
40,21,"Config2",689651.640802622
40,22,"Config1",1035434.93401431
40,22,"Config2",968971.288143454
40,23,"Config1",832434.144116597
40,23,"Config2",995900.425708727
40,24,"Config1",1185843.70588198
40,24,"Config2",483339.219611638
40,25,"Config1",837055.002115378
40,25,"Config2",678398.221717009
40,26,"Config1",1057745.30127835
40,26,"Config2",689767.140515326
40,27,"Config1",990489.360986902
40,27,"Config2",698197.155374726
40,28,"Config1",932106.14103382
40,28,"Config2",915972.720167535
40,29,"Config1",967588.933125859
40,29,"Config2",698827.404472259
40,30,"Config1",997933.652750542
40,30,"Config2",649466.759903442
40,31,"Config1",1090040.15149138
40,31,"Config2",753352.978072945
40,32,"Config1",1055301.80583897
40,32,"Config2",320046.254376312
40,33,"Config1",1001067.91647123
40,33,"Config2",476126.918963292
40,34,"Config1",863247.516123818
40,34,"Config2",414398.67590574
40,35,"Config1",1049938.52140129
40,35,"Config2",1028162.16310729
40,36,"Config1",1086276.92277263
40,36,"Config2",954688.742712172
40,37,"Config1",1060977.15382436
40,37,"Config2",705938.271658854
40,38,"Config1",873653.090275563
40,38,"Config2",721569.811525958
40,39,"Config1",1087633.18232538
40,39,"Config2",497514.365138002
40,40,"Config1",987173.781313004
40,40,"Config2",839729.485423449
40,41,"Config1",966951.675337496
40,41,"Config2",774663.176992114
40,42,"Config1",647836.915655646
40,42,"Config2",717525.276254068
40,43,"Config1",1205002.67156551
40,43,"Config2",801338.674499434
40,44,"Config1",1011361.11919226
40,44,"Config2",2602363.22384467
40,45,"Config1",857153.609654426
40,45,"Config2",594800.929975783
40,46,"Config1",998831.360227539
40,46,"Config2",848269.763187916
40,47,"Config1",1078571.22137767
40,47,"Config2",1106394.16689942
40,48,"Config1",1051324.15528614
40,48,"Config2",470257.278689563
40,49,"Config1",978013.994894011
40,49,"Config2",917201.271877158
40,50,"Config1",1094196.34594114
40,50,"Config2",567145.34481067
40,51,"Config1",990402.40525761
40,51,"Config2",1019368.57442397
40,52,"Config1",1172340.14667797
40,52,"Config2",761088.428144428
40,53,"Config1",942872.314455526
40,53,"Config2",915239.855441452
40,54,"Config1",1006809.8395979
40,54,"Config2",1027200.43153527
40,55,"Config1",1043532.63369603
40,55,"Config2",641950.527355354
40,56,"Config1",953595.39316675
40,56,"Config2",661203.241097282
40,57,"Config1",683657.734425249
40,57,"Config2",1147534.42916665
40,58,"Config1",1002769.53877245
40,58,"Config2",635333.08742191
40,59,"Config1",1112023.96191973
40,59,"Config2",599261.978756456
40,60,"Config1",991283.784251059
40,60,"Config2",944383.149988278
40,61,"Config1",1194032.79699106
40,61,"Config2",641705.901299822
40,62,"Config1",1018822.91751059
40,62,"Config2",572687.709677162
40,63,"Config1",795568.869384692
40,63,"Config2",438798.789700786
40,64,"Config1",994492.362867229
40,64,"Config2",1007293.04963965
40,65,"Config1",873684.123387454
40,65,"Config2",430678.68332745
40,66,"Config1",1037545.65930497
40,66,"Config2",1351539.71964022
40,67,"Config1",1161043.8808507
40,67,"Config2",783992.091809902
40,68,"Config1",1081714.10149591
40,68,"Config2",2239470.18036895
40,69,"Config1",1178897.41541137
40,69,"Config2",342356.190260893
40,70,"Config1",1159616.32518727
40,70,"Config2",791851.425766744
40,71,"Config1",849643.910198526
40,71,"Config2",934820.130487179
40,72,"Config1",1067227.87266157
40,72,"Config2",725937.897008565
46,1,"Config1",1224382.32428061
46,1,"Config2",1248518.20361711
46,2,"Config1",1274294.60953088
46,2,"Config2",951800.577908505
46,3,"Config1",1139038.77883877
46,3,"Config2",838318.725226747
46,4,"Config1",1330003.33079248
46,4,"Config2",875578.31224985
46,5,"Config1",1233773.44763653
46,5,"Config2",1432638.4314159
46,6,"Config1",1286271.98985932
46,6,"Config2",1243963.54981008
46,7,"Config1",1336918.16414299
46,7,"Config2",1044549.77140432
46,8,"Config1",1402655.71548239
46,8,"Config2",1127974.04278265
